z_element	symbol	name_en	atomic mass	density	t_melting	t_boiling
103	Lr	Lawrencium	260.105300		1627.00	
104	Rf	Rutherfordium	261.108700			
105	Db	Dubnium	262.113800			
106	Sg	Seaborgium	263.118200			
107	Bh	Bohrium	262.122900			
108	Hs	Hassium	265.000000			
109	Mt	Meitnerium	266.000000			
110	Ds	Darmstadtium	269.000000			
111	Rg	Roentgenium	272.000000			
112	Cn	Copernicium	277.000000			
113	Nh	Nihonium	286.000000	16.000000	430.00	1130.00
114	Fl	Flerovium				
115	Mc	Moscovium				
116	Lv	Livermorium				
117	Ts	Tennessine				
118	Og	Oganesson				
