z_element	symbole	nom	masse_atomique	masse_volumique	t_fusion	t_ebullition
69	Tm	Thulium	168.93421	9.32	1545.0	1727.0
70	Yb	Ytterbium	173.04	6.97	824.0	1193.0
71	Lu	Lutécium	174.967	9.84	1656.0	3315.0
72	Hf	Hafnium	178.49	13.31	2150.0	5400.0
73	Ta	Tantale	180.9479	16.68	2996.0	5425.0
74	W	Tungstène	183.85	19.26	3407.0	5927.0
75	Re	Rhénium	186.207	21.03	3180.0	5627.0
76	Os	Osmium	190.2	22.61	3045.0	5027.0
77	Ir	Iridium	192.22	22.65	2410.0	4130.0
78	Pt	Platine	195.08	21.45	1772.0	3827.0
79	Au	Or	196.96654	19.32	1064.4	2940.0
80	Hg	Mercure	200.59	13.55	-38.9	356.6
81	Tl	Thallium	204.3833	11.85	303.6	1457.0
82	Pb	Plomb	207.2	11.34	327.5	1740.0
83	Bi	Bismuth	208.98037	9.8	271.4	1560.0
84	Po	Polonium	208.9824	9.2	254.0	962.0
85	At	Astate	209.9871		302.0	337.0
86	Rn	Radon	222.0176	0.00923	-71.0	-61.8
87	Fr	Francium	223.0197		26.85	677.0
88	Ra	Radium	226.0254	5.5	700.0	1140.0
89	Ac	Actinium	227.0278	10.07	1047.0	3197.0
90	Th	Thorium	232.0381	11.72	1750.0	4787.0
91	Pa	Protactinium	231.0359	15.37	1554.0	4030.0
92	U	Uranium	238.0289	18.97	1132.4	3818.0
93	Np	Neptunium	237.0482	20.48	640.0	3902.0
94	Pu	Plutonium	244.0642	19.74	641.0	3327.0
95	Am	Américium	243.0614	13.67	994.0	2607.0
96	Cm	Curium	247.0703	13.51	1340.0	
97	Bk	Berkélium	247.0703	13.25	986.0	
98	Cf	Californium	251.0796	15.1	900.0	
99	Es	Einsteinium	252.0829		860.0	
100	Fm	Fermium	257.0951		1527.0	
101	Md	Mendélévium	258.0986			
102	No	Nobélium	259.1009		827.0	
103	Lr	Lawrencium	260.1053		1627.0	
104	Rf	Rutherfordium	261.1087			
105	Db	Dubnium	262.1138			
106	Sg	Seaborgium	263.1182			
107	Bh	Bohrium	262.1229			
108	Hs	Hassium	265.0			
109	Mt	Meitnérium	266.0			
110	Ds	Darmstadtium	269.0			
111	Rg	Roentgenium	272.0			
112	Cn	Copernicium	277.0			
113	Nh	Nihonium	286.0	16.0	430.0	1130.0
114	Fl	Flérovium				
115	Mc	Moscovium				
116	Lv	Livermorium				
117	Ts	Tennesse				
118	Og	Oganesson				
